year,window,doc_id,source_filename,source_pdf_path,source_json_path,route,extraction_method,segmentation_strategy,page_count,raw_text_length,clean_text_length,A_intro_length,A_methods_length,A_results_length,A_intro_section_not_found,A_methods_section_not_found,A_results_section_not_found,any_section_not_found,combined_text_length,short_document_flag,token_count,type_count,ttr,non_ascii_rate,digit_alpha_ratio
1986,audit_1985_1994,jae_38255fef92f7,10.5032_jaatea.1986.01039.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1986/10.5032_jaatea.1986.01039.pdf,data/structured/Route_B_Legacy/1986/10.5032_jaatea.1986.01039.json,Route_B_Legacy,ocr,era_3,6,19448,17267,17,17,17,1,1,1,1,0,1,0,0,,,
1986,audit_1985_1994,jae_c63b4d7dd6ab,10.5032_jaatea.1986.01045.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1986/10.5032_jaatea.1986.01045.pdf,data/structured/Route_B_Legacy/1986/10.5032_jaatea.1986.01045.json,Route_B_Legacy,ocr,era_3,8,17103,16021,775,1851,6395,0,0,0,0,9023,0,1093,388,0.3549862763037511,0.0008866230743655104,0.2065647018388039
1986,audit_1985_1994,jae_c6b948c951ee,10.5032_jaatea.1986.01053.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1986/10.5032_jaatea.1986.01053.pdf,data/structured/Route_B_Legacy/1986/10.5032_jaatea.1986.01053.json,Route_B_Legacy,ocr,era_3,8,18160,14693,3756,2207,8284,0,0,0,0,14249,0,1964,584,0.2973523421588595,0.0007719839988771142,0.052703941338221816
1986,audit_1985_1994,jae_f339d6f1309b,10.5032_jaatea.1986.02002.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1986/10.5032_jaatea.1986.02002.pdf,data/structured/Route_B_Legacy/1986/10.5032_jaatea.1986.02002.json,Route_B_Legacy,ocr,era_3,6,14858,14776,3847,2920,7605,0,0,0,0,14374,0,1988,635,0.3194164989939638,0.00034785028523723387,0.04126410835214447
1986,audit_1985_1994,jae_78032e353c4f,10.5032_jaatea.1986.02008.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1986/10.5032_jaatea.1986.02008.pdf,data/structured/Route_B_Legacy/1986/10.5032_jaatea.1986.02008.json,Route_B_Legacy,ocr,era_3,5,9810,9433,1624,6654,17,0,0,1,1,8279,0,1196,349,0.29180602006688966,0.0008455127430849137,0.040348101265822785
1986,audit_1985_1994,jae_138568f9e84d,10.5032_jaatea.1986.02013.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1986/10.5032_jaatea.1986.02013.pdf,data/structured/Route_B_Legacy/1986/10.5032_jaatea.1986.02013.json,Route_B_Legacy,ocr,era_3,6,13739,12343,1322,1802,5151,0,0,0,0,8277,0,1149,335,0.2915578764142733,0.0015706173734444848,0.0644073241246386
1986,audit_1985_1994,jae_426b77d06a2f,10.5032_jaatea.1986.02019.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1986/10.5032_jaatea.1986.02019.pdf,data/structured/Route_B_Legacy/1986/10.5032_jaatea.1986.02019.json,Route_B_Legacy,ocr,era_3,8,16376,14313,1013,1368,10115,0,0,0,0,12498,0,1757,588,0.3346613545816733,0.0011201792286765883,0.04292955415330506
1986,audit_1985_1994,jae_6ba0d83bd200,10.5032_jaatea.1986.02027.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1986/10.5032_jaatea.1986.02027.pdf,data/structured/Route_B_Legacy/1986/10.5032_jaatea.1986.02027.json,Route_B_Legacy,ocr,era_3,7,13653,12254,537,2089,4077,0,0,0,0,6705,0,881,293,0.3325766174801362,0.00014914243102162565,0.09786368260427264
1986,audit_1985_1994,jae_b8b29caf0a5f,10.5032_jaatea.1986.02034.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1986/10.5032_jaatea.1986.02034.pdf,data/structured/Route_B_Legacy/1986/10.5032_jaatea.1986.02034.json,Route_B_Legacy,ocr,era_3,6,14441,13301,1212,3628,6117,0,0,0,0,10959,0,1576,463,0.29378172588832485,0.00036499680627794504,0.04772646325537219
1986,audit_1985_1994,jae_01632fed131e,10.5032_jaatea.1986.02040.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1986/10.5032_jaatea.1986.02040.pdf,data/structured/Route_B_Legacy/1986/10.5032_jaatea.1986.02040.json,Route_B_Legacy,ocr,era_3,4,11100,9979,992,1536,4619,0,0,0,0,7149,0,1005,317,0.3154228855721393,0.00027975940691005733,0.048771676300578035
1986,audit_1985_1994,jae_ab021c6ee3b9,10.5032_jaatea.1986.02044.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1986/10.5032_jaatea.1986.02044.pdf,data/structured/Route_B_Legacy/1986/10.5032_jaatea.1986.02044.json,Route_B_Legacy,ocr,era_3,9,16888,9833,593,3878,17,0,0,1,1,4472,0,653,209,0.32006125574272587,0.0,0.01632540121748755
1986,audit_1985_1994,jae_ad1bf743cfe8,10.5032_jaatea.1986.03002.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1986/10.5032_jaatea.1986.03002.pdf,data/structured/Route_B_Legacy/1986/10.5032_jaatea.1986.03002.json,Route_B_Legacy,ocr,era_3,6,15642,13534,3103,8621,17,0,0,1,1,11725,0,1657,457,0.27579963789981893,0.00017057569296375266,0.02267932489451477
1986,audit_1985_1994,jae_1426ab531ce5,10.5032_jaatea.1986.03008.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1986/10.5032_jaatea.1986.03008.pdf,data/structured/Route_B_Legacy/1986/10.5032_jaatea.1986.03008.json,Route_B_Legacy,ocr,era_3,12,36212,30068,17,17,17,1,1,1,1,0,1,0,0,,,
